Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,Tenure_Group,Num_Add_On_Services,Has_Online_Services,Avg_Monthly_Spend,Is_Long_Term_Contract,Internet Service_Fiber optic,Internet Service_No,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn Label
1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,53.85,108.15,0,2,1,54.08,0,0,0,0,0,1,1
0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,70.7,151.65,0,0,0,75.82,0,1,0,0,1,0,1
0,0,0,1,8,1,1,0,0,1,0,1,1,0,1,99.65,820.5,0,3,0,102.56,0,1,0,0,1,0,1
0,0,1,1,28,1,1,0,0,1,1,1,1,0,1,104.8,3046.05,2,4,0,108.79,0,1,0,0,1,0,1
1,0,0,1,49,1,1,0,1,1,0,1,1,0,1,103.7,5036.3,3,4,1,102.78,0,1,0,0,0,0,1
0,0,1,0,10,1,0,0,0,1,1,0,0,0,0,55.2,528.35,0,2,0,52.84,0,0,0,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.65,39.65,0,2,0,39.65,0,0,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,20.15,0,0,0,20.15,0,0,1,0,0,1,1
1,0,1,1,47,1,1,0,1,0,0,1,1,0,1,99.35,4749.15,2,3,1,101.05,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30.2,30.2,0,1,1,30.2,0,0,0,0,1,0,1
0,0,0,0,17,1,0,0,0,0,0,1,1,0,1,64.7,1093.1,1,2,0,64.3,0,0,0,0,0,1,1
1,0,0,1,5,1,0,0,0,0,0,0,0,0,1,69.7,316.9,0,0,0,63.38,0,1,0,0,1,0,1
1,0,0,1,34,1,1,0,1,1,0,1,1,0,1,106.35,3549.25,2,4,1,104.39,0,1,0,0,1,0,1
