Feature,Importance_RF,Corr_with_Target,Recommendation
Total Charges,0.1339883423885773,0.19948408356756378,FLAG — highly correlated with Tenure Months (r=0.825)
Avg_Monthly_Spend,0.1302087141324117,0.19252967682671718,KEEP
Monthly Charges,0.1273382849494906,0.19335642223784827,KEEP
Tenure Months,0.12020718205703237,0.352228670113079,KEEP
Contract,0.04967083760022885,0.396712629209845,KEEP
Is_Long_Term_Contract,0.049612278318228786,0.4051029106879898,KEEP (or DROP if Contract is kept — redundant with Contract)
Tenure_Group,0.037436860754239604,0.34541012552288575,KEEP
Internet Service_Fiber optic,0.03602342658095592,0.3080197449448237,KEEP
Dependents,0.0315930930232453,0.24854222642328383,KEEP
Num_Add_On_Services,0.028002890330032077,0.0876981271195637,KEEP
Payment Method_Electronic check,0.027593148076992147,0.30191874901128596,KEEP
Gender,0.023301565128374016,0.008612095078997399,KEEP
Paperless Billing,0.0212181101106538,0.1918253316664706,KEEP
Partner,0.02092821869129602,0.15044754495917692,KEEP
Senior Citizen,0.017663836832870913,0.15088932817647407,KEEP
Tech Support,0.014867912232889543,0.16467355590159374,KEEP
Online Security,0.01429201164665417,0.171226291948553,KEEP
Multiple Lines,0.014116791443954524,0.04010212769982595,KEEP
Has_Online_Services,0.01291345629704996,0.11760146625480718,KEEP
Internet Service_No,0.012899680460375209,0.22789044975609318,KEEP
Device Protection,0.012805292290602767,0.06615979128029065,KEEP
Streaming Movies,0.012069972114167505,0.0613815480151869,KEEP
Streaming TV,0.011779168019981391,0.06322774611875864,KEEP
Payment Method_Mailed check,0.011712887064697709,0.0916828385884294,KEEP
Online Backup,0.011501501806546998,0.08225486893814218,KEEP
Payment Method_Credit card (automatic),0.011081354492591696,0.13430175066262853,KEEP
Phone Service,0.005173183155858977,0.011941980029006627,DROP
